"","type","modelnum","variable","value"
"65716","LOBD","0Raw","MBE",4.27431857679033
"65717","LOBD","0Raw","MBE",3.00303997727401
"65718","LOBD","0Raw","MBE",3.1813315825889
"65719","LOBD","0Raw","MBE",2.95352334609188
"65720","LOBD","0Raw","MBE",5.94016522866212
"65721","LOBD","0Raw","MBE",5.98717232127601
"65722","LOBD","0Raw","MBE",7.13772323166677
"65723","LOBD","0Raw","MBE",8.8175061067906
"65724","LOBD","0Raw","MBE",7.7926635981899
"65725","LOBD","0Raw","MBE",7.07257686428183
"65726","LOBD","0Raw","MBE",5.34561658400178
"65727","LOBD","0Raw","MBE",4.19602840936764
"65728","LOBD","0Raw","MBE",5.15997758465353
"65729","LOBD","0Raw","MBE",3.68454553182374
"65730","LOBD","0Raw","MBE",4.49146185749264
"65731","LOBD","0Raw","MBE",8.42768189076523
"65732","LOBD","0Raw","MBE",4.41791861352588
"65733","LOBD","0Raw","MBE",4.56063391737996
"65734","LOBD","0Raw","MBE",6.02703783818148
"65735","LOBD","0Raw","MBE",6.19498219972053
"65736","LOBD","0Raw","MBE",7.74210789647922
"65737","LOBD","0Raw","MBE",7.22675043339071
"65738","LOBD","0Raw","MBE",7.24149463559181
"65739","LOBD","0Raw","MBE",4.7459546227626
"65740","LOBD","0Raw","MBE",3.46869592465281
"65741","LOBD","0Raw","MBE",3.99934703195616
"65742","LOBD","0Raw","MBE",3.76145084377051
"65743","LOBD","0Raw","MBE",4.99070699324169
"65744","LOBD","0Raw","MBE",3.75754961699204
"65745","LOBD","0Raw","MBE",4.32792874761005
"65746","LOBD","0Raw","MBE",2.93213355194156
"65747","LOBD","0Raw","MBE",6.26474953372964
"65748","LOBD","0Raw","MBE",7.65184997466169
"65749","LOBD","0Raw","MBE",8.14891432261303
"65750","LOBD","0Raw","MBE",8.22992797269837
"65751","LOBD","0Raw","MBE",7.5863453775979
"65752","LOBD","0Raw","MBE",5.81249453854872
"65753","LOBD","0Raw","MBE",4.67401996732045
"65754","LOBD","0Raw","MBE",5.50722806416264
"65755","LOBD","0Raw","MBE",4.08722659626112
"65756","LOBD","0Raw","MBE",4.86713369765845
"65757","LOBD","0Raw","MBE",8.65434812938251
"65758","LOBD","0Raw","MBE",4.86291541083976
"65759","LOBD","0Raw","MBE",4.99834067411523
"65760","LOBD","0Raw","MBE",6.32531339384779
"65761","LOBD","0Raw","MBE",6.42137421158039
"65762","LOBD","0Raw","MBE",7.94570256534907
"65763","LOBD","0Raw","MBE",7.38473770513379
"65764","LOBD","0Raw","MBE",7.38541018286112
"65765","LOBD","0Raw","MBE",4.95684570242711
"65766","LOBD","0Raw","MBE",3.71491822854999
"65767","LOBD","0Raw","MBE",4.2307822648919
"65768","LOBD","0Raw","MBE",3.97603313314677
"65769","LOBD","0Raw","MBE",5.17334106899698
"65770","LOBD","0Raw","MBE",3.96780180115399
"65771","LOBD","0Raw","MBE",4.50234279787263
"65772","LOBD","0Raw","MBE",3.18819456542554
"65773","LOBD","0Raw","MBE",6.53200944691965
"65774","LOBD","0Raw","MBE",7.9386787478591
"65775","LOBD","0Raw","MBE",8.47600245729482
"65776","LOBD","0Raw","MBE",6.4667212256778
"65777","LOBD","0Raw","MBE",4.93717137231807
"65778","LOBD","0Raw","MBE",3.84562728303415
"65779","LOBD","0Raw","MBE",4.86744725803863
"65780","LOBD","0Raw","MBE",3.41208619329523
"65781","LOBD","0Raw","MBE",4.20541733421857
"65782","LOBD","0Raw","MBE",8.08881864321153
"65783","LOBD","0Raw","MBE",4.08133937343976
"65784","LOBD","0Raw","MBE",4.22248121437961
"65785","LOBD","0Raw","MBE",5.73906214873099
"65786","LOBD","0Raw","MBE",5.97143172597121
"65787","LOBD","0Raw","MBE",7.47742525047143
